FIPS,State_Name,diss_me,Food_Insecure_Rate_for_Adults_2010,Food_Insecure_Rate_for_Adults_2015,Food_Insecure_Rate_for_Adults_2020,Food_Insecure_Rate_for_Children_2010,Food_Insecure_Rate_for_Children_2015,Food_Insecure_Rate_for_Children_2020,Average_Cost_per_Meal_Consumed_2010,Average_Cost_per_Meal_Consumed_2015,Average_Cost_per_Meal_Consumed_2020,State_Annual_Food_Budget_Shortfall_2010 ,State_Annual_Food_Budget_Shortfall_2015,State_Annual_Food_Budget_Shortfall_2020
1,Alabama,3541,14.60%,17.70%,14.50%,19.90%,24.10%,19.80%,$2.67 ,$2.92 ,$3.13 ,"$48,031,340 ","$450,670,000 ","$358,615,000 "
2,Alaska,3563,19.20%,13.90%,10.80%,26.70%,19.60%,14.70%,$2.48 ,$3.41 ,$3.81 ,"$392,590,090 ","$62,743,000 ","$48,894,000 "
4,Arizona,3520,19.20%,15.80%,11.10%,27.80%,24.00%,16.40%,$2.40 ,$2.81 ,$3.07 ,"$231,511,600 ","$543,084,000 ","$395,360,000 "
5,Arkansas,3528,19.00%,18.40%,14.70%,29.00%,25.00%,19.70%,$2.40 ,$2.72 ,$2.80 ,"$502,714,910 ","$267,757,000 ","$200,073,000 "
6,California,3521,17.10%,12.50%,9.10%,26.80%,20.70%,13.00%,$2.55 ,$3.14 ,$3.45 ,"$2,810,696,200 ","$2,750,484,000 ","$1,985,431,000 "
8,Colorado,3522,15.50%,12.20%,8.30%,22.10%,16.50%,11.20%,$2.43 ,$3.09 ,$3.36 ,"$327,668,270 ","$368,403,000 ","$256,787,000 "
9,Connecticut,3537,13.80%,12.20%,10.20%,18.80%,16.70%,12.60%,$2.73 ,$3.12 ,$3.60 ,"$231,676,950 ","$244,830,000 ","$210,898,000 "
10,Delaware,3555,12.80%,12.10%,9.70%,18.40%,17.30%,15.10%,$2.63 ,$3.04 ,$3.32 ,"$52,033,440 ","$62,102,000 ","$50,261,000 "
11,District of Columbia,3556,16.50%,12.60%,9.40%,30.70%,23.60%,15.40%,$3.41 ,$3.61 ,$4.16 ,"$58,396,850 ","$54,660,000 ","$44,052,000 "
12,Florida,3542,19.20%,15.10%,10.60%,28.40%,22.70%,15.70%,$2.62 ,$3.11 ,$3.39 ,"$1,627,675,680 ","$1,702,052,000 ","$1,230,605,000 "
13,Georgia,3543,19.90%,16.20%,10.90%,28.30%,23.20%,14.40%,$2.49 ,$2.88 ,$3.19 ,"$829,976,420 ","$858,223,000 ","$585,596,000 "
15,Hawaii,3517,14.00%,12.80%,9.60%,21.70%,20.10%,16.60%,$2.60 ,$3.23 ,$3.79 ,"$85,166,300 ","$105,633,000 ","$83,117,000 "
16,Idaho,3518,13.40%,14.00%,8.70%,19.50%,17.60%,10.50%,$2.35 ,$2.92 ,$3.33 ,"$165,151,150 ","$121,760,000 ","$81,955,000 "
17,Illinois,3546,17.00%,11.70%,8.30%,22.80%,17.30%,11.30%,$2.69 ,$2.72 ,$3.19 ,"$123,915,740 ","$735,098,000 ","$539,852,000 "
